number,Plant_ID,Flower_ID,Date_collected,Date_plated,Replicate,Nectar_cm,Nectar_mm,Nectar_vol,Stigma_closed,Fcfu1,Fcfu2,Fcfu3,Fcfu4,Fcfu5,Fcfu6,F_nontarget,Fcfu_avg,FCFU_total,FCFU_ul,log(FCFU+1),Bcfu1,Bcfu2,Bcfu3,Bcfu4,Bcfu5,Bcfu6,Bcfu_avg,BCFU_total,BCFUul,log(BCFU+1),,,,,,,,,,
1,LH1,1,6/23/15,6/24/15,1,0.1,1,0.121065375,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2,LH1,2,6/23/15,6/24/15,2,1.4,14,1.694915254,Yes,0,0,0,0,0,0,NA,0,0,0,0,38,1,0,0,0,0,6.5,39,6915.391539,3.839879571,,,,,,,,,,
3,LH1,3,6/23/15,6/24/15,3,3.1,31,3.753026634,Yes,57,0,0,0,0,0,NA,9.5,57,171.0607382,2.235681782,11,1,0,0,0,0,2,12,1079.411167,3.033589064,,,,,,,,,,
4,LH1,4,6/23/15,6/24/15,4,2.3,23,2.784503632,Yes,1,0,0,0,0,0,NA,0.166666667,1,3.836009923,0.684487183,124,0,0,0,0,0,20.66666667,124,14257.11267,4.154062042,,,,,,,,,,
5,LH1,5,6/23/15,6/24/15,5,0.3,3,0.363196126,Yes,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0.166666667,1,761.4761476,2.882226262,,,,,,,,,,
6,LH1 ,6,6/23/15,6/24/15,6,0.9,9,1.089588378,Yes,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
7,LH1,7,6/23/15,6/24/15,7,0.7,7,0.847457627,Yes,0,0,0,0,0,0,NA,0,0,0,0,22,0,0,0,0,0,3.666666667,22,7405.940594,3.869638861,,,,,,,,,,
8,LH1,8,6/23/15,6/24/15,8,2,20,2.421307506,Yes,0,0,0,0,0,0,NA,0,0,0,0,29,20,0,0,0,0,8.166666667,49,6346.624662,3.802611239,,,,,,,,,,
9,LH2,9,6/23/15,6/24/15,1,2.2,22,2.663438257,Yes,0,0,0,0,0,0,NA,0,0,0,0,8,7,2,0,0,0,2.833333333,17,2029.539318,3.307611403,,,,,,,,,,
10,LH2,10,6/23/15,6/24/15,2,0.6,6,0.726392252,Yes,0,0,0,0,0,0,NA,0,0,0,0,35,9,0,0,0,0,7.333333333,44,17148.51485,4.234251839,,,,,,,,,,
11,LH2,11,6/23/15,6/24/15,3,0.9,9,1.089588378,Yes,36,0,0,0,0,0,NA,6,36,319.2792793,2.505528843,3,4,0,0,0,0,1.166666667,7,1860.786079,3.269929779,,,,,,,,,,
12,LH2,12,6/23/15,6/24/15,4,0.6,6,0.726392252,Yes,0,0,0,0,0,0,NA,0,0,0,0,8,1,0,0,0,0,1.5,9,3507.650765,3.545140143,,,,,,,,,,
