ID;SEX;BM;AREA_TYPE;AREA;YEAR;order;repeatability;surv;reprod;age;SHYNESS4;EXPLORATION4;ACTIVITY4.oft;SOCIABILITY3;AVOIDANCE3;OTHER3.mis;ALERT3
2497;F;290;RED;VAL;2016;1;Y;1;1;6;0.533206075;0.33564199;0.743810458;0.127919181;0.856716369;0.063959586;0.464246605
2497;F;350;RED;VAL;2017;2;Y;1;1;6;0.674099228;0.374022598;0.619197269;0.080327701;0.957800647;0.259153529;0
2872;M;300;RED;VAL;2016;1;Y;1;#N/A;7;0.540563423;0.25954224;0.739008078;0;0.847373738;0.275364379;0.441572445
2872;M;280;RED;VAL;2016;2;Y;#N/A;#N/A;#N/A;0.920609997;0.062091331;0.377388863;0.960873484;0;0.201603065;0.163741216
2872;M;295;RED;VAL;2017;3;Y;1;#N/A;7;0.733341131;0.291943988;0.598384768;0;0.925681046;0.367000888;0
2872;M;285;RED;VAL;2017;4;Y;#N/A;#N/A;#N/A;0.907510592;0.072403677;0.39808043;0.936244935;0;0.28012048;0.105690534
2904;M;295;RED;VAL;2016;1;N;0;#N/A;6;0.877745923;0.193777578;0.37273899;0;0.898357793;0.068269701;0.409793473
2905;F;360;RED;VAL;2016;1;Y;1;#N/A;6;0.828897867;0.249696216;0.495657259;0.936903154;0;0.298709626;0.148210261
2905;F;340;RED;VAL;2017;2;Y;0;#N/A;6;0.805385952;0.309152976;0.502342368;0.83909404;0.36200504;0.392940925;0.062286215
2945;M;300;RED;VAL;2016;1;N;0;#N/A;6;0.925767684;0.177733649;0.32999601;0;0.952347884;0.16776736;0.228468218
3365;M;320;RED-GREY;C03-17;2016;1;Y;0;#N/A;5;0.584769204;0.18347165;0.770614841;0.200342128;0.818553282;0.097956012;0.522783954
3365;M;320;RED-GREY;C03-17;2016;2;Y;#N/A;#N/A;#N/A;0.710221122;0.319658751;0.620428558;0;0.93388753;0.237329566;0.230725008
3393;M;310;RED-GREY;C03-17;2016;1;N;1;#N/A;5;0.581363568;0.468204525;0.612989349;0;0.628529969;0;0.758650598
4115;M;320;RED;VAL;2016;1;Y;1;#N/A;5;0.690961559;0.13785993;0.664358443;0;0.791254511;0.313922534;0.518838004
4115;M;300;RED;VAL;2017;2;Y;0;#N/A;5;0.703780298;0.285202918;0.629962853;0.821366594;0.159474329;0.543766104;0
4136;F;345;RED-GREY;Sal-Passat;2016;1;Y;1;1;6;0.621244469;0.261945235;0.708668388;0;0.917215283;0;0.384334305
4136;F;345;RED-GREY;Sal-Passat;2016;2;Y;#N/A;#N/A;#N/A;0.66484407;0.246391983;0.658181756;0;0.954927733;0.290598373;0
4136;F;375;RED-GREY;Sal-Passat;2017;3;Y;1;1;6;0.902030121;0;0.430180014;0.900824581;0.307219323;0.287400409;0.066605577
